"filename", "language", "SCSS", "TypeScript", "HTML", "CSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\layout\layout.scss", "SCSS", -12, 0, 0, 0, 0, 0, 0, 0, -12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\arya-blue\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\arya-green\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\arya-orange\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\arya-purple\theme.css", "CSS", 0, 0, 0, -6202, 0, 0, -3, -194, -6399
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\bootstrap4-dark-blue\theme.css", "CSS", 0, 0, 0, -6205, 0, 0, -4, -197, -6406
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\bootstrap4-dark-purple\theme.css", "CSS", 0, 0, 0, -6205, 0, 0, -4, -197, -6406
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\bootstrap4-light-blue\theme.css", "CSS", 0, 0, 0, -6205, 0, 0, -4, -197, -6406
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\bootstrap4-light-purple\theme.css", "CSS", 0, 0, 0, -6205, 0, 0, -4, -197, -6406
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\assets\layout\styles\theme\fluent-light\theme.css", "CSS", 0, 0, 0, -6321, 0, 0, -3, -210, -6534
