"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\landing\landing.module.ts", "TypeScript", 22, 0, 0, 0, 2, 24
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\notfound\notfound.component.html", "HTML", 0, 0, 39, 0, 0, 39
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\notfound\notfound.component.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud.component.html", "HTML", 0, 0, 103, 0, 10, 113
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud.component.ts", "TypeScript", 110, 0, 0, 2, 30, 142
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\crud\crud.module.ts", "TypeScript", 40, 0, 0, 0, 2, 42
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo.component.html", "HTML", 0, 0, 160, 4, 46, 210
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo.component.ts", "TypeScript", 106, 0, 0, 31, 62, 199
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\empty\emptydemo.module.ts", "TypeScript", 26, 0, 0, 1, 14, 41
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\pages-routing.module.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\pages.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo-routing.module.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.component.html", "HTML", 0, 0, 87, 0, 4, 91
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.component.ts", "TypeScript", 21, 0, 0, 0, 7, 28
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.module.ts", "TypeScript", 18, 0, 0, 0, 2, 20
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\pages\timeline\timelinedemo.scss", "SCSS", 0, 18, 0, 0, 3, 21
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blocks\blocks.component.html", "HTML", 0, 0, 391, 0, 19, 410
"c:\Users\user\Downloads\Universidad\Proyectos Angular\CevicheriaFrontendCalidad\cevicheria-frontend-calidad\src\app\demo\components\primeblocks\blocks\blocks.component.ts", "TypeScript", 387, 0, 0, 0, 20, 407
